Testcase,Algorithm,Nodes,Edges,MaxFlow,RuntimeMs
complete-2000-1.in,Push-Relabel-Gap,2000,3994002,2131624838689,75
complete-2000-1.in,Push-Relabel-HG,2000,3994002,2131624838689,28
complete-2000-1.in,HLPP,2000,3994002,2131624838689,24
complete-2000-2.in,Edmonds-Karp,2000,3994002,TLE,TLE
complete-2000-2.in,Scaling,2000,3994002,TLE,TLE
complete-2000-2.in,Dinic,2000,3994002,2120959655112,22
complete-2000-2.in,Dinic-Scaling,2000,3994002,2120959655112,23
complete-2000-2.in,ISAP,2000,3994002,2120959655112,57
complete-2000-2.in,MPM,2000,3994002,TLE,TLE
complete-2000-2.in,Push-Relabel,2000,3994002,2120959655112,69
complete-2000-2.in,Push-Relabel-Highest,2000,3994002,2120959655112,55
complete-2000-2.in,Push-Relabel-Gap,2000,3994002,2120959655112,77
complete-2000-2.in,Push-Relabel-HG,2000,3994002,2120959655112,27
complete-2000-2.in,HLPP,2000,3994002,2120959655112,23
complete-2000-3.in,Edmonds-Karp,2000,3994002,TLE,TLE
complete-2000-3.in,Scaling,2000,3994002,TLE,TLE
complete-2000-3.in,Dinic,2000,3994002,2182276346861,22
complete-2000-3.in,Dinic-Scaling,2000,3994002,2182276346861,23
complete-2000-3.in,ISAP,2000,3994002,2182276346861,58
complete-2000-3.in,MPM,2000,3994002,TLE,TLE
complete-2000-3.in,Push-Relabel,2000,3994002,2182276346861,56
complete-2000-3.in,Push-Relabel-Highest,2000,3994002,2182276346861,55
complete-2000-3.in,Push-Relabel-Gap,2000,3994002,2182276346861,75
complete-2000-3.in,Push-Relabel-HG,2000,3994002,2182276346861,27
complete-2000-3.in,HLPP,2000,3994002,2182276346861,24
complete-2000-4.in,Edmonds-Karp,2000,3994002,TLE,TLE
complete-2000-4.in,Scaling,2000,3994002,TLE,TLE
complete-2000-4.in,Dinic,2000,3994002,2101027386553,26
complete-2000-4.in,Dinic-Scaling,2000,3994002,2101027386553,168
complete-2000-4.in,ISAP,2000,3994002,2101027386553,58
complete-2000-4.in,MPM,2000,3994002,TLE,TLE
complete-2000-4.in,Push-Relabel,2000,3994002,TLE,TLE
complete-2000-4.in,Push-Relabel-Highest,2000,3994002,TLE,TLE
complete-2000-4.in,Push-Relabel-Gap,2000,3994002,TLE,TLE
complete-2000-4.in,Push-Relabel-HG,2000,3994002,2101027386553,28
complete-2000-4.in,HLPP,2000,3994002,2101027386553,36
complete-3000-0.in,Edmonds-Karp,3000,8991002,TLE,TLE
complete-3000-0.in,Scaling,3000,8991002,TLE,TLE
complete-3000-0.in,Dinic,3000,8991002,3185868632023,49
complete-3000-0.in,Dinic-Scaling,3000,8991002,3185868632023,54
